STATE,POSTCODE,FIPS,STEMERG,STEMERGEND,STEMERG2,CLSCHOOL,CLDAYCR,OPNCLDCR,CLNURSHM,STAYHOME,STAYHOMENOGP,END_STHM,CLBSNS,CURFEW,END_BSNS,RELIGEX,FM_ALL,FM_ALL2,FMFINE,FMCITE,FMNOENF,FM_EMP,FMENDVAX,FMVAX,FMHIGH,FM_END,FM_END2,FMNOW,FM_STP,FMLOCAL,ALCOPEN,ALCREST,ALCDELIV,GUNOPEN,CANNABIS,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,CLOSEBAR,END_BRS,END_HAIR,END_RELG,ENDRETL,CURFEWEND,BCLBAR2,CLBAR2,CLMV2,CLHAIR2,CLGYM2,CLRST2,ENDREST2,END_BRS2,END_CLGYM2,END_CLHAIR2,END_CLMV2,CLBAR3,CLRST3,END_CLBAR3,END_CLRST3,QRSOMEST,QR_ALLST,QR_END,VAC_PLAN,VAC_HCW,VAC_HCS,VAC_HHC,VAC_AHC,VAC_LTC,VAC_EMS,VAC_FF,VAC_LAW,VAC_CORR,VAC_INC,VAC_SHELTER,VAC_75,VAC_65,VAC_HR,VAC_K12,VAC_HIGHED,VAC_PT,VAC_FOOD,VAC_GROCERY,VAC_ESSWORK,VAC_ADDWORK,VAC_PUB,80DATE,75DATE,70DATE,65DATE,60DATE,55DATE,50DATE,45DATE,40DATE,30DATE,K12DATE,GROCERYDATE,INCDATE,PUBDATE,AGEPRIORITY,RACEPRIORITY,PROOFWORK,PROOFAGE,PROOFRES,PENALTY,EXPANDADMIN,EMSTART,EMEND,EMSTART2,EMEND2,EMSTART3,EMEND3,EMNOW,INITIATIONBANSTART,INITIATIONBANEND,INITIATIONBANSTART2,INITIATIONBANEND2,HEARINGBANSTART,HEARINGBANEND,HEARINGBANSTART2,HEARINGBANEND2,ENFORCEBANSTART,ENFORCEBANEND,ENFORCEBANSTART2,ENFORCEBANEND2,C19START,C19END,C19START2,C19END2,PAYSTART,PAYEND,PAYSTART2,PAYEND2,CARESSTART,CARESEND,CDCSTART,CDCEND,LATESTART,LATEEND,LATESTART2,LATEEND2,SMSTART,SMEND,SMSTART2,URSTART,UREND,SNAPALLO,SNAPEBT20,SNAPEBT21,SNAPEBTSUMMER,SNAPSUSP,SNAPTLW,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,CHIPLKOT,LKOTSUS,TEST,CASE,HOSP,DEATH,VACCINE,TESTAIAN,CASEAIAN,HOSPAIAN,DEATHAIAN,VACCINEAIAN,VISITPER,VISITATT,VISITRES,NOVISIT2,VISITRES2,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,ELECNOSTART,ELECPRCR2,ENDELECP2,WTPRD,WV_WTPRD,REI_WTPRD,WV_WKSR,REI_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDURJAN20,UIMAXDURJUL20,UIMAXDUR21,EBSTART,EBEND,EBSTART2,TUR,TURPRIOR,TURPRIOR2,20EBSTART,20EBEND,20EBSTART2,UIEND,UIMINBP,UIQTRNEED,UIOUTHQBP,UIREQBPL2Q,UIBPEARN300,UITAXWA,UIMINTAXR,UIMAXTAXR,UIAVGBFTAUG,OSHA,STATEDEPT,AEROSOL,VENTILATION,SICKLEAVE19,SICKLEAVE20,RETALIATION,LIABILITY,HCLIABILITY,GOVLIABILITY,WORKERSCOMP,WORKERTYPE,WORKREPORTING,WORKMISSED,WORKINJURY,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,MH19,CASSTATE,AIANRESN,VBMEXC,VBMSIG,VBMPERM,VBMAUTOBAL,VBMAUTOAP,VBMGENELEC,CASCLOSE,CASOPEN,CASCLOSE2,CASOPEN2,CASTRIBCAS,MINWAGEJAN2019,MINWAGEMAR2019,MINWAGEJUL2019,MINWAGEOCT2019,MINWAGEJAN2020,MINWAGEJUL2020,MINWAGESEP2020,MINWAGEOCT2020,TIPMINWAGE2020,MINWAGE2021,SMALLBUSMINWAGE
Georgia,GA,13,2020-03-14,2021-07-01,,2020-03-18,,,2020-04-03,2020-04-03,,2020-05-01,2020-04-03,,2020-05-01,False,,,False,False,True,2020-04-24,2021-05-01,,,2021-05-01,,False,2020-07-15,2021-07-30,True,2020-03-24,,True,False,2020-04-03,2020-04-27,False,2020-04-03,2020-04-24,2020-04-03,2020-04-27,2020-03-24,2020-06-01,2020-04-24,,2020-04-23,,,,,,,,,,,,,,,,,,,,2021-03-04,1A,1A,1A,1A,1A,1A,1A,1A,1A,2,2,1A,1A,2,1B,2,2,2,2,2,2,2,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-03-15,2021-03-15,2021-03-25,2021-03-25,2021-03-25,2021-03-25,2021-03-08,2021-03-25,2021-03-25,2021-03-25,True,False,False,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,2020-05-04,2020-08-25,,,,,,,,,,,,2020-03-24,2020-06-05,,,2020-04-10,True,2020-04-01,,False,2020-03-18,2020-03-18,False,False,False,True,True,True,True,False,True,True,True,True,2020-03-12,2020-03-12,2021-04-03,,,False,True,False,False,,,2020-04-20,,,True,,False,True,False,True,True,True,True,365.0,965.0,14,26,26,2020-05-10,2021-02-06,,5.3,171.0,139.0,2020-07-05,2020-10-10,,2021-06-26,2200.0,2,1.0,False,12000.0,9500.0,0.04,7.56,256.8,True,False,False,False,False,False,False,True,True,True,False,False,True,7.0,True,False,,,,,2020-04-01,,False,177.02,10519475,59425.0,10443,4.8,14.3,36.2,85202,137.3,True,True,False,False,False,False,False,2020-10-30,,,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,2.13,7.25,True
Hawaii,HI,15,2020-03-04,,,2020-03-16,,,2020-03-17,2020-03-25,2020-05-07,2020-05-31,2020-03-25,,2020-05-07,False,2020-11-16,,True,True,False,2020-06-11,,,,,,True,,,True,2020-04-16,2020-04-16,True,True,2020-03-17,2020-06-05,False,2020-03-25,2020-06-19,2020-03-17,2020-06-19,2020-03-17,2020-06-26,2020-05-29,2020-05-18,2020-05-07,,,,,,,,,,,,,,,,,,2020-03-26,,2021-01-07,1A,1A,1A,1A,1A,1A,1B,1B,1B,2,2,1B,1C,1C,1B,1B,1B,1B,1B,1B,1C,2,2021-01-05,2021-01-05,2021-03-08,2021-03-15,2021-03-26,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-01-11,2021-03-15,2021-04-19,2021-04-19,False,False,False,False,False,False,False,2020-03-17,,,,,,True,2020-04-16,,,,2020-03-17,2020-04-27,,,2020-03-17,,,,,,,,2020-04-16,,,,,,,,,,,,2020-05-04,2021-06-01,,2020-05-04,2021-06-01,2020-04-17,2020-05-28,2021-03-16,2021-05-11,,True,2020-03-26,,False,2020-04-15,2020-03-30,False,False,False,True,True,True,True,False,False,False,False,False,2020-03-13,,,,,False,False,False,True,,,2020-04-26,,,False,2020-03-16 00:00:00.000000000,False,True,True,False,False,False,False,648.0,1248.0,26,26,26,2020-05-17,2021-03-06,,11.3,419.0,419.0,,,,,130.0,2,1.0,False,7800.0,48100.0,0.0,5.6,449.2,True,True,False,False,False,False,False,False,True,True,False,False,True,,True,False,,,,,,,True,129.94,1420491,10932.0,6412,3.8,8.8,39.1,11415,250.5,False,False,False,False,True,False,False,,,,,,False,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,9.35,10.1,False
Idaho,ID,16,2020-03-13,,,2020-03-24,,,,2020-03-25,,2020-05-01,2020-03-25,,2020-05-01,False,,,False,False,True,,,,,,,False,,,True,2020-03-23,2020-03-23,True,True,2020-03-25,2020-05-16,False,2020-03-25,2020-05-16,2020-03-25,2020-05-30,2020-03-25,2020-05-30,2020-05-16,2020-05-01,2020-05-01,,,,,,,,,,,,,,,,,,2020-04-15,2020-05-16,2021-03-24,1A,1A,1A,1A,1A,1A,1B,1B,1B,2,1B,1B,1B,1C,1B,2,1B,1B,1B,1B,2,2,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-03-22,2021-03-22,2021-03-24,2021-03-24,2021-04-05,2021-04-05,2021-01-12,2021-03-15,2021-04-05,2021-04-05,True,False,True,True,False,False,False,2020-03-16,2020-05-01,,,,,False,,,,,2020-03-16,2020-05-01,,,,,,,,,,,,,,,2020-05-04,2020-07-26,,,,,,,,,,,,2020-04-02,2020-08-13,2021-03-23,,,True,2020-03-26,,False,2020-04-06,2020-03-17,False,False,False,True,False,True,True,False,True,False,True,True,2020-03-13,,2021-06-12,,,False,False,True,False,,,,,,False,2020-03-27 00:00:00.000000000,True,True,False,True,False,False,False,448.0,1048.0,20,26,22,2020-05-24,2020-08-22,,6.6,228.0,228.0,,,,2021-06-19,2340.0,2,468.0,False,9750.0,41600.0,0.25,5.4,306.11,True,False,False,False,False,False,False,True,False,True,False,False,True,1.0,False,False,,,,,,,True,20.99,1754208,83569.0,2315,4.0,11.8,36.2,14261,208.8,True,True,False,False,False,False,True,2020-10-23,,,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,3.35,7.25,False
Illinois,IL,17,2020-03-09,,,2020-03-17,2020-03-23,2020-05-29,,2020-03-21,,2020-05-29,2020-03-21,,2020-05-29,False,2020-05-01,,True,True,False,2020-05-01,2021-06-11,,,2021-06-11,,False,,,True,2020-03-16,2020-03-16,True,True,2020-03-16,2020-05-29,True,2020-03-21,2020-05-29,2020-03-21,2020-06-26,2020-03-16,2020-06-26,2020-05-29,2020-05-01,2020-05-29,,2020-11-20,2020-11-20,2020-11-20,,,2020-11-20,2021-02-04,2021-02-04,,,2021-02-04,,,,,,,,2021-03-20,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,2,1B,1B,1C,1B,2,1B,1B,1B,1B,1C,2,2021-01-25,2021-01-25,2021-01-25,2021-01-25,2021-04-12,2021-04-12,2021-04-12,2021-04-12,2021-04-12,2021-04-12,2021-01-25,2021-01-25,2021-01-25,2021-04-12,False,False,False,False,False,False,True,2020-03-21,,,,,,True,2020-04-23,,,,2021-03-05,,,,2020-03-21,,,,2020-11-13,,,,,,,,2020-03-28,2020-08-25,,,,,,,2020-03-18,2020-07-26,,2020-06-18,2021-01-26,2020-04-01,2020-04-17,2021-01-15,,,True,2020-03-23,,False,2020-03-19,2020-03-19,False,False,True,True,False,True,True,True,True,False,True,True,2020-03-14,,2021-04-12,,,True,False,False,False,,,2020-05-11,,,False,2020-03-16 00:00:00.000000000,False,False,False,True,False,True,False,484.0,1084.0,26,26,26,2020-05-17,,,,,,2020-07-05,2021-01-16,,,1600.0,2,440.0,False,16595.74,12740.0,0.2,6.4,313.12,True,True,False,False,False,False,False,False,True,True,True,True,False,3.0,True,False,,,,,,,True,220.0,12741080,57914.0,10199,5.5,12.1,36.2,110022,228.8,True,False,False,False,False,False,True,2020-10-29,2020-03-16,2020-07-01,2020-11-20,2021-01-23,False,8.25,8.25,8.25,8.25,9.25,10.0,10.0,10.0,6.0,11.0,True
Indiana,IN,18,2020-03-06,,,2020-03-20,,,,2020-03-25,,2020-05-18,2020-03-25,,2020-05-18,False,2020-07-27,,False,False,True,2020-05-01,2021-04-06,,,2021-04-06,,False,,,True,2020-03-23,,True,False,2020-03-16,2020-05-18,False,2020-03-25,2020-06-01,2020-03-25,2020-06-12,2020-03-16,2020-06-12,2020-05-18,2020-05-08,2020-05-18,,,,,,,,,,,,,,,,,,,,2021-03-17,1A,1A,1A,1A,1A,1A,1A,1A,1A,2,2,1B,1B,2,2,2,2,2,2,2,2,2,2021-01-08,2021-01-13,2021-01-13,2021-02-23,2021-02-23,2021-03-09,2021-03-10,2021-03-22,2021-03-29,2021-03-31,2021-03-15,2021-03-31,2021-03-31,2021-03-31,True,False,False,True,True,False,False,2020-03-19,2020-08-15,,,,,False,2020-03-19,2020-08-15,,,2020-03-19,2020-08-15,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,2020-08-15,,,,2020-03-27,2020-05-14,2020-12-30,2021-05-01,2020-04-13,False,2020-03-25,,False,2020-03-30,2020-03-30,True,False,True,True,False,True,True,False,False,False,False,False,2020-03-12,,,,,False,True,False,False,2020-03-16,2020-04-27,,,,False,2020-03-26 00:00:00.000000000,True,True,False,True,False,True,False,390.0,990.0,26,26,26,2020-06-07,2020-11-14,,6.8,213.0,194.0,,,,,4200.0,2,1400.0,True,33191.49,9500.0,0.5,7.4,221.9,True,True,False,False,False,False,False,True,True,True,False,False,False,1.0,True,True,,,,2020-03-28,,,True,183.74,6691878,36420.0,5471,4.4,13.1,39.9,65693,160.0,True,False,True,False,False,False,False,2020-10-22,2020-03-16,2020-06-15,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,2.13,7.25,True
Iowa,IA,19,2020-03-09,,,2020-04-02,,,,,,,2020-03-26,2020-11-17,2020-05-15,False,2020-11-17,,True,False,False,2020-11-17,2021-02-07,,,2021-02-07,,False,,2021-05-20,True,2020-03-20,2020-03-20,True,False,2020-03-17,2020-05-15,False,2020-03-17,2020-05-15,2020-03-17,2020-05-22,2020-03-17,2020-05-28,2020-05-15,2020-05-01,2020-05-15,2020-12-10,2020-08-27,,,,,,,2020-10-05,,,,,,,,,,,2021-04-05,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,1C,1B,2,1B,1B,1B,1B,2,2,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-02-01,2021-04-05,2021-04-05,2021-04-05,True,False,False,False,False,False,False,2020-03-19,2020-05-28,,,,,False,2020-03-19,2020-05-28,,,,,,,,,,,,,,,,,,,2020-05-23,,2020-10-02,,,,,,2020-03-27,2020-05-28,,,,2020-03-25,2020-06-05,,,,False,2020-03-25,,False,2020-03-26,2020-03-13,False,True,False,True,False,True,True,False,True,False,True,True,2020-03-14,,2021-07-10,,,False,True,False,False,2020-03-27,2020-04-27,,2020-11-17,2021-02-05,True,,False,True,True,True,True,True,False,481.0,1081.0,26,26,26,2020-05-17,2020-10-31,,5.9,211.0,236.0,,,,2021-06-12,2423.0,2,808.0,False,10350.0,31600.0,0.0,7.5,343.48,True,True,False,False,False,False,False,True,True,True,False,False,False,3.0,True,True,,,,,,,True,56.09,3156145,56273.0,2315,3.6,11.2,36.9,30367,155.7,True,True,False,False,False,False,True,2020-10-24,2020-03-16,2020-06-01,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,4.35,7.25,False
Kansas,KS,20,2020-03-12,2021-06-15,,2020-03-18,,,,2020-03-30,,2020-05-04,2020-03-30,,2020-05-04,True,2020-07-03,,True,False,False,2020-07-10,2021-04-01,,,2021-04-01,,False,,,True,2020-03-18,,True,True,2020-03-30,2020-05-04,False,2020-03-30,2020-05-18,2020-03-30,2020-05-22,2020-03-30,2020-06-08,2020-05-18,2020-05-04,2020-05-04,,,,,,,,,,,,,,,,,2020-03-23,,,2021-03-29,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,5,2,2,2,2,3,5,2021-01-21,2021-01-21,2021-01-21,2021-01-21,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-01-21,2021-01-21,2021-01-21,2021-03-29,False,False,False,False,False,False,False,2020-03-17,2020-06-01,2020-08-19,2021-05-28,,,False,,,,,2020-03-17,2020-04-03,,,2020-03-23,2020-06-01,2020-08-19,2021-05-28,2020-03-23,2020-06-01,2020-08-19,2021-05-28,,,,,,,,,,,,,2020-03-16,2020-06-01,,,,2020-04-01,2020-04-25,,,,False,2020-03-24,,False,2020-06-22,2020-04-01,True,True,True,True,True,True,True,True,True,True,True,True,2020-03-13,,2021-04-18,,,False,True,False,False,,,,,,False,2020-03-31 00:00:00.000000000,False,True,False,False,False,False,True,488.0,1088.0,16,26,26,2020-06-07,2020-12-12,,6.0,194.0,188.0,2020-07-05,2020-10-10,,,3660.0,2,1.0,False,9000.0,14000.0,0.0,7.1,341.68,True,False,False,False,False,False,False,True,True,True,False,False,False,1.0,True,False,,,,,,,False,35.39,2911505,82278.0,2381,3.8,12.0,38.0,27537,196.7,True,True,False,False,False,False,False,2020-10-27,2020-05-04,2020-05-22,,,True,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,2.13,7.25,False
Kentucky,KY,21,2020-03-06,,,2020-03-17,2020-03-23,2020-06-08,,,2020-03-26,2020-06-29,2020-03-26,2020-08-11,2020-05-11,False,2020-07-10,,True,False,False,2020-05-11,2021-05-13,,,2021-06-11,,False,,,True,2020-03-16,2020-03-19,True,False,2020-03-16,2020-05-22,False,2020-03-18,2020-06-01,2020-03-18,2020-06-01,2020-03-16,2020-06-29,2020-05-25,2020-05-09,2020-05-20,2021-05-28,2020-07-28,2020-07-28,,,,2020-11-20,2020-12-13,2020-08-11,,,,2020-11-20,,2020-12-13,,,2020-04-02,2020-05-06,2021-02-08,1A,1A,1A,1A,1A,1A,1B,1B,1B,3,3,1B,1C,1C,1B,3,1C,1C,1C,1C,1C,3,2021-02-01,2021-02-01,2021-02-01,2021-03-01,2021-03-01,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-02-01,2021-03-01,2021-04-05,2021-04-05,False,False,False,False,False,False,False,2020-03-16,2020-08-25,,,,,False,2020-04-01,2020-08-01,,,2020-03-16,2020-08-01,,,2020-03-25,2020-08-25,,,,,,,2020-05-08,2020-08-25,,,2020-03-27,2021-04-01,2020-09-04,,2020-03-06,2020-09-04,,,2020-05-08,2020-11-06,,,,2020-03-28,2020-05-19,2021-02-24,,,True,2020-03-25,,False,2020-03-18,2020-03-18,False,False,False,True,False,True,True,False,True,False,True,True,2020-03-11,,2021-06-20,,,False,True,False,False,2020-03-18,2020-05-06,,,,False,2020-03-16 00:00:00.000000000,True,True,True,True,False,False,False,552.0,1152.0,26,26,26,2020-05-17,2020-11-28,,6.8,158.0,158.0,2020-06-07,2020-09-12,,,3271.0,2,1090.0,True,25161.45,10800.0,0.3,9.0,319.88,True,True,False,False,False,False,False,True,True,True,True,True,False,1.0,True,True,,,,,,,True,110.58,4468402,40408.0,4079,5.2,16.9,43.6,48707,227.5,False,False,False,False,False,False,False,2020-10-27,,,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,2.13,7.25,False
Louisiana,LA,22,2020-03-11,,,2020-03-16,,,2020-03-12,2020-03-23,,2020-05-15,2020-03-23,,2020-05-01,False,2020-08-07,2021-08-04,True,True,False,2020-05-01,2021-04-28,,,2021-04-28,,False,,,True,2020-03-16,2020-03-16,True,True,2020-03-17,2020-05-01,True,2020-03-17,2020-05-15,2020-03-17,2020-05-15,2020-03-17,2020-06-05,2020-05-15,2020-05-15,2020-05-15,,2020-07-13,2020-07-13,,,,,,2021-03-03,,,,,,,,,,,2021-03-03,1A,1A,1B,1B,1A,1A,1A,1A,1B,2,2,1B,1B,2,1B,1B,1B,1B,1B,1B,2,2,2021-01-04,2021-01-04,2021-01-04,2021-02-08,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-02-22,2021-03-22,2021-03-29,2021-03-29,True,False,False,False,False,True,True,2020-03-17,2020-06-16,,,,,False,,,,,2020-03-17,2020-06-16,,,,,,,,,,,,,,,,,,,,,,,2020-03-13,2020-07-16,,,,2020-03-27,2020-05-14,,,2020-04-13,True,2020-03-23,,False,2020-03-23,2020-03-13,True,True,False,True,False,True,True,False,True,False,True,True,2020-03-12,2020-03-12,2021-03-13,,,False,False,True,False,2020-03-19,2020-04-27,,,,False,2020-03-13 00:00:00.000000000,False,True,True,True,False,True,False,247.0,847.0,26,26,26,2020-05-10,2021-01-23,,8.6,169.0,179.0,,,,,1200.0,2,400.0,False,300.0,7700.0,0.09,6.0,180.86,True,False,False,False,False,False,False,True,False,True,False,False,False,7.0,True,True,,,,,,,True,88.97,4659978,52378.0,2941,6.4,18.6,42.1,46048,264.6,True,True,True,True,False,False,False,2020-10-30,2020-03-17,2020-05-18,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,2.13,7.25,False
Maine,ME,23,2020-03-15,2021-06-30,,2020-04-02,,,,2020-04-02,,2020-05-31,2020-03-25,2020-11-20,2020-05-01,False,2020-05-01,,True,True,False,2020-05-01,2021-05-24,,,2021-05-24,,False,,,True,2020-03-18,2020-03-18,True,True,2020-03-18,2020-06-01,True,2020-03-25,2020-06-17,2020-03-25,2020-07-01,2020-03-18,2021-03-26,2020-06-17,2020-05-29,2020-06-01,2021-02-01,,,,,,,,,,,,,,,,2020-06-12,2020-04-03,2021-05-01,2021-02-26,1A,1A,1A,1A,1A,1A,1A,1A,1A,2,2,1B,1B,1B,1B,1B,1B,1B,1B,1B,1C,2,2021-01-18,2021-01-18,2021-01-18,2021-03-03,2021-03-03,2021-04-01,2021-04-01,2021-04-07,2021-04-07,2021-04-07,2021-03-03,2021-04-07,2021-04-07,2021-04-07,True,False,True,True,True,False,False,2020-03-18,2020-08-03,,,,,False,,,,,2020-03-18,2020-08-03,,,2020-04-16,2020-08-03,,,,,,,2020-04-16,2020-08-03,,,,,,,,,,,2020-03-16,2020-11-01,,,,2020-03-28,2020-05-05,,,,True,2020-04-07,,False,2020-03-20,2020-03-20,True,True,False,True,True,True,True,False,True,True,True,True,2020-03-14,,2020-07-13,2020-11-01,2021-03-18,False,True,False,False,,,,,,False,2020-03-15 00:00:00.000000000,True,True,True,True,False,False,False,445.0,1045.0,26,26,26,2020-05-10,2020-11-14,,7.7,266.0,233.0,,,,,5336.0,2,1779.0,False,13200.0,12000.0,0.06,5.46,294.53,True,True,False,False,False,True,False,False,False,False,False,False,False,1.0,True,False,,2020-03-24,,,,,True,37.83,1338404,35380.0,2106,3.5,11.6,42.5,14715,474.6,True,True,False,False,False,False,False,2020-10-29,,,,,False,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,6.0,12.15,False
Maryland,MD,24,2020-03-05,2021-07-01,,2020-03-16,2020-03-30,2020-06-19,2020-04-05,2020-03-30,,2020-05-15,2020-03-23,2020-11-20,2020-05-15,False,2020-04-18,,True,True,False,2020-04-18,2021-05-15,,,2021-05-15,,False,,,True,2020-03-19,,True,True,2020-03-16,2020-05-29,True,2020-03-16,2020-06-19,2020-03-16,2020-09-01,2020-03-16,2020-06-12,2020-05-15,2020-05-15,2020-05-15,2021-02-01,,,,,,,,,,,,,,,,2020-12-17,,2021-03-12,2021-03-18,1A,1A,1A,1A,1A,1A,1A,1A,1A,2,1B,1B,1C,2,1B,3,1C,1C,1C,1C,2,3,2021-01-18,2021-01-18,2021-01-25,2021-01-25,2021-03-23,2021-04-06,2021-04-06,2021-04-06,2021-04-06,2021-04-06,2021-01-18,2021-01-25,2021-04-06,2021-04-06,False,False,False,False,False,True,True,2020-03-16,,,,,,True,,,,,2020-03-18,2020-07-25,2020-11-16,2021-03-14,,,,,2020-03-16,,,,2020-11-16,2021-03-13,,,2020-03-27,2020-08-25,2020-09-04,,,,,,2020-03-16,2020-11-16,,,,2020-04-01,2020-04-28,,,2020-04-13,True,2020-03-26,2020-04-01,False,2020-04-01,2020-03-12,False,False,False,True,False,True,True,False,False,False,False,True,2020-03-12,,,,,False,False,True,False,2020-03-24,2020-05-07,,,,True,,False,True,False,True,True,True,False,430.0,1030.0,26,26,26,2020-05-31,2020-12-12,,7.5,214.0,197.0,,,,,1800.0,2,600.0,False,10800.0,8500.0,0.3,7.5,305.52,True,True,False,False,True,False,True,False,False,False,False,False,False,3.0,True,False,,,,,,,True,487.08,6042718,12406.0,6561,4.9,9.0,37.1,50568,257.4,True,False,False,False,False,False,True,2020-10-20,2020-03-16,2020-06-19,,,False,10.1,10.1,10.1,10.1,11.0,11.0,11.0,11.0,3.63,11.75,False
Massachusetts,MA,25,2020-03-10,2021-06-15,,2020-03-17,2020-03-23,2020-06-08,2020-03-16,2020-03-24,,2020-05-18,2020-03-24,2020-11-06,2020-05-18,False,2020-05-06,,True,False,False,2020-05-06,2021-05-29,,,2021-05-29,,False,,,True,2020-04-03,2020-04-03,False,True,2020-03-17,2020-06-08,True,2020-03-24,2020-07-13,2020-03-24,2020-07-13,2020-03-17,2021-05-29,2020-05-25,2020-05-18,2020-06-08,2021-01-25,,,,,,,,,,,,,,,,2020-07-01,2020-03-27,2021-03-22,2021-04-19,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,2,3,2021-02-01,2021-02-01,2021-03-22,2021-03-22,2021-03-22,2021-04-05,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-03-11,2021-03-22,2021-01-18,2021-04-19,False,False,True,True,False,False,True,2020-03-13,2020-10-18,2020-12-31,,,,True,2020-04-20,2020-10-18,,,2020-03-13,2020-10-18,2020-12-31,,2020-04-20,2020-10-18,,,,,,,2020-12-31,,,,,,2020-09-04,,2020-04-20,2020-10-18,,,2020-03-24,,,,,2020-03-25,2020-04-17,2020-12-15,2021-05-25,2020-04-10,True,2020-03-26,2020-03-11,False,2020-03-16,2020-03-12,True,False,False,True,True,True,True,False,True,True,True,True,2020-03-12,,2020-07-08,2020-11-14,2021-06-01,False,False,True,False,2020-03-18,2020-05-18,,,,False,2020-03-18 00:00:00.000000000,False,True,False,True,False,False,False,823.0,1423.0,26,26,26,2020-05-03,,,,,,2020-07-05,2021-01-16,2021-04-04,,5100.0,1,0.0,False,31200.0,15000.0,0.94,14.37,396.96,True,False,False,False,True,False,True,False,True,True,False,False,False,5.0,True,False,,,,,2020-04-06,,True,653.98,6902149,10554.0,18471,4.8,10.0,34.6,59152,626.6,True,True,False,False,False,False,True,2020-10-28,2020-03-14,2020-07-06,,,False,12.0,12.0,12.0,12.0,12.75,12.75,12.75,12.75,4.95,13.5,False
